Coefficient a0 : -1.0402078196077336
1 coefficient a: -1.3103165503658616
2 coefficient a: -3.888730084687129
3 coefficient a: -1.4593249224546683
4 coefficient a: 1.0562734713968982
5 coefficient a: 1.0445621844806798
6 coefficient a: -0.09115145865770499
7 coefficient a: -0.2135056406235628
8 coefficient a: 0.003947534209670852
9 coefficient a: 0.02208113255790212
10 coefficient a: -0.00010342681316553574
11 coefficient a: -0.001403709799064487
12 coefficient a: 1.82058036004679e-06
13 coefficient a: 6.0830328823472444e-05
14 coefficient a: -2.30412522823766e-08
15 coefficient a: -1.9186973114610354e-06
